vk_id,friends_count,photo_count,likes_total,average_likes,groups_count,average_member,male_ratio,female_ratio,unknown_ratio,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,pe_0,pe_1,pe_2,pe_3,pagerank,degree,clustering,betweenness
103527291,0.6740614,0.9556314,0.97269624,0.78156996,0.556314,0.7679181,0.43003413,0.59726965,0.0,0.22354949,0.3139932,0.06825939,0.090443686,0.20819113,0.44550702,1.3143184,-1.0623147,0.6193996,0.29615003,0.28466758,-0.5682806,-0.088938944
105187696,0.45904437,0.81569964,0.6825939,0.47098976,0.97952217,0.70307165,0.74061435,0.28668943,0.0,0.7679181,0.5665529,0.15187714,0.34129694,0.6177474,0.45171893,1.4193449,-0.12352076,0.26237893,0.8662681,0.7962341,-1.1569511,1.096585
107570655,0.8976109,0.9112628,0.9692833,0.9146758,0.6416382,0.54948807,0.47098976,0.556314,0.0,0.5546075,0.82764506,0.82935154,0.21843003,0.6177474,-0.944514,-0.23967011,-0.6232156,1.0415353,0.6352355,0.71097296,0.20794752,-0.30243465
108753219,0.79692835,0.99658704,0.64846414,0.21501707,0.7918089,0.59726965,0.2901024,0.7372014,0.0,0.037542664,0.06313993,0.29863483,1.0,0.0068259384,-0.810334,0.12560885,-0.6440594,0.7530403,0.99928623,1.0520173,-0.2958977,0.22884199
131753409,0.77474403,0.7849829,0.8122867,0.71672356,0.84641635,0.3105802,0.26279864,0.7679181,0.0,0.18771331,0.8020478,0.86177474,0.7627986,0.7474403,0.29215598,-0.658194,-0.42403027,0.5475101,1.378234,1.3930616,-0.85974395,1.2957307
125542609,0.87030715,0.4675768,0.50341296,0.66211605,0.38225257,0.48464164,0.59726965,0.43003413,0.0,0.6825939,0.28498295,0.7201365,0.34129694,0.6672355,0.8184097,0.8865403,0.0978021,-0.16842031,-1.2465953,-1.267084,-0.20621704,-0.8295305
133834561,0.061433446,0.21501707,0.25255972,0.39419794,0.1109215,0.18430035,0.94880545,0.08020478,0.0,0.29863483,0.37201366,0.5546075,0.10750853,0.52901024,1.9060934,-2.096779,-0.054433234,-0.33244178,-0.92576104,-0.9260397,2.3065014,-0.9194224
137085622,0.2901024,0.0,0.0,0.0,0.07337884,0.15017065,0.97098976,0.05631399,0.0,0.38395905,0.18259385,0.17918089,0.21843003,0.11262798,1.968355,-1.8852623,0.65801054,0.04488493,-0.8556398,-0.8578308,1.7924825,-0.88454807
138272181,0.061433446,0.0,0.0,0.0,0.40443686,0.90102386,0.94880545,0.08020478,0.0,0.40784982,0.18259385,0.20648465,0.1569966,0.17576791,-0.8276567,0.21065071,0.017404277,0.4361771,0.5303359,0.55750304,-0.13426709,0.15430965
135622610,0.2901024,0.8259386,0.63139933,0.3686007,0.25597268,0.4129693,0.9146758,0.11262798,0.0,0.34300342,0.37201366,0.75938565,0.65358365,0.48122868,0.44133276,0.65816003,0.25606126,-1.5917435,-1.9403532,-1.9491726,-0.5639762,-0.9775731
136954329,0.52047783,0.78156996,0.8259386,0.7610921,0.54948807,0.89419794,0.4880546,0.5392491,0.0,0.7372014,0.44027305,0.6365188,0.41808873,0.83788395,0.04239813,0.98345894,-0.8270491,0.70255226,0.82801723,0.81328624,-0.74715096,0.61120254
139376700,0.68600684,0.0,0.0,0.0,0.7610921,0.7440273,0.9931741,0.034129694,0.0,0.5870307,0.33959043,0.48293516,0.3208191,0.35836178,0.14467157,1.1911267,-0.8506846,0.32311895,0.4772758,0.47224197,-0.53979236,0.13002215
138485067,0.552901,0.7389079,0.9044369,0.9351536,0.50511944,0.63822526,0.19795223,0.82935154,0.0,0.7372014,0.15870307,0.2576792,0.47269624,0.17576791,-0.9245872,0.39785886,-0.47163948,-1.2791009,0.6761299,0.6939208,-0.3770077,0.33596164
144902763,0.8259386,0.78156996,0.88395905,0.8566553,0.31228667,0.78156996,0.4129693,0.61433446,0.0,0.88395905,0.7457338,0.86177474,0.24914676,0.82081914,-0.33607507,0.51277363,-0.111695826,0.40982226,-0.32439455,-0.27805552,0.121686995,-0.66905916
